id,Title,Subtitle,Tags,Link,Date,Source,Virtual
1,It's a… Women's Women's Women's World!,Kunst weiblicher Kunstschaffender – eine Dauerausstellung,Vergnügen,https://www.karldergrosse.ch/programm/kategorien/ausstellungen/its-a-womens-womens-womens-world,15/09/2021,https://www.karldergrosse.ch/,False
4,Was wäre wenn – wir 150 Jahre alt werden?​Abgesagt,Podiumsdiskussion zur Langlebigkeit mit KION,"Labor,Generationen",https://www.karldergrosse.ch/programm/veranstaltung/was-ware-wenn-wir-150-jahre-alt-werden,23/04/2024,https://www.karldergrosse.ch/,False
5,"Eine gute Zukunft? Zürich, die Klimastadt!",Input und Diskussion mit den Klima-Grosseltern Zürich,Ausstellung,https://www.karldergrosse.ch/programm/veranstaltung/eine-gute-zukunft-zurich-die-klimastadt,24/04/2024,https://www.karldergrosse.ch/,False
6,Wenn Bäuer*innen streiken,Podium über die Schweizer Bauernbewegung mit Polito,Debatte,https://www.karldergrosse.ch/programm/veranstaltung/wenn-bauerinnen-streiken,02/05/2024,https://www.karldergrosse.ch/,False
7,Café Philo: Generationen im Dialog,Philosophischer Austausch mit Dr. Caroline Krüger,"Labor,Generationen",https://www.karldergrosse.ch/programm/veranstaltung/cafe-philo-generationen-im-dialog,04/05/2024,https://www.karldergrosse.ch/,False
8,Stadtausweis für alle,Vernetzungstreffen und Austausch zu Urban Citizienship,Labor,https://www.karldergrosse.ch/programm/veranstaltung/stadtausweis-fur-alle,04/05/2024,https://www.karldergrosse.ch/,False
9,Endometriose ist nur die Spitze des Eisbergs,Podium zu Gendermedizin mit Zethno,Debatte,https://www.karldergrosse.ch/programm/veranstaltung/endometriose-ist-nur-die-spitze-des-eisbergs,04/05/2024,https://www.karldergrosse.ch/,False
10,Mutausbruch!,"Vortrag und Diskussion für Mutige und alle, die es werden möchten",Labor,https://www.karldergrosse.ch/programm/veranstaltung/mutausbruch-2,07/05/2024,https://www.karldergrosse.ch/,False
11,Wohncommunity-Tour,Führung durch das Zollhaus mit Monika Saxer,"Vergnügen,Generationen",https://www.karldergrosse.ch/programm/veranstaltung/wohncommunity-tour,08/05/2024,https://www.karldergrosse.ch/,False
12,Empathie und Konfliktlösung,Grundlagenkurs mit Empathie Stadt Zürich,Labor,https://www.karldergrosse.ch/programm/veranstaltung/empathie-und-konfliktlosung-3,13/05/2024,https://www.karldergrosse.ch/,False
13,Vielfalt entdecken und bewahren,Workshop: Puzzle der Biodiversität,Labor,https://www.karldergrosse.ch/programm/veranstaltung/vielfalt-entdecken-und-bewahren,14/05/2024,https://www.karldergrosse.ch/,False
14,Generationen & Wohnen,Podium zum Mehrgenerationen-Wohnen mit Claudia Thiesen,"Debatte,Generationen",https://www.karldergrosse.ch/programm/veranstaltung/generationen-wohnen,14/05/2024,https://www.karldergrosse.ch/,False
15,Netzpolitischer Abend zu KI im Journalismus,Diskussion zu Digitalisierung und Gesellschaft,Debatte,https://www.karldergrosse.ch/programm/veranstaltung/netzpolitischer-abend-zu-ki-im-journalismus,16/05/2024,https://www.karldergrosse.ch/,False
16,Rund ums Wasser!,Pitch-Night mit dem Verbund Lebensraum Zürich und Tsüri.ch,Debatte,https://www.karldergrosse.ch/programm/veranstaltung/rund-ums-wasser,22/05/2024,https://www.karldergrosse.ch/,False
18,Inklusive Medien- und Kommunikationsarbeit,Workshop zu Kommunikation ohne Barrieren,"Labor,Festival",https://www.karldergrosse.ch/programm/veranstaltung/inklusive-medien-und-kommunikationsarbeit,23/05/2024,https://www.karldergrosse.ch/,False
19,Übergänge gestalten,Vortrag zu Unterstützter Kommunikation in Ausbildung und Beruf,"Labor,Festival",https://www.karldergrosse.ch/programm/veranstaltung/ubergange-gestalten,23/05/2024,https://www.karldergrosse.ch/,False
20,Menschen mit Behinderungen werden Mitarbeitende in Schulen,Referat zum Projekt écolsiv,"Debatte,Festival",https://www.karldergrosse.ch/programm/veranstaltung/menschen-mit-behinderungen-werden-mitarbeitende-in-schulen,23/05/2024,https://www.karldergrosse.ch/,False
